"Group","F_stat","R2","p_value","Signif"
"Stream Tundra",1.36323588073124,0.185140867794101,0.341," "
"Stream Forest",1.78053659728316,0.0817489775483887,0.121," "
"Stream Peatland",1.36032898324184,0.119743801895925,0.263," "
"Lake Peatland",2.42505924436449,0.19517486369044,0.069," "
